tau,beta,taux_mask,MAE,MLE 
10,2,0.2,3.25436911371,11.6073623451
10,2,0.4,3.31465740081,11.9838456484
10,2,0.6,3.37845498069,12.4600915247
100,2,0.2,2.14093901087,5.8003438672
100,2,0.4,2.36287133365,6.85598255688
100,2,0.6,2.70228775494,8.54158848464
1000,2,0.2,1.19899221488,2.3299534518
1000,2,0.4,1.34818392791,2.83237058339
1000,2,0.6,1.60674134321,3.81980179731
10000,2,0.2,1.01519232765,1.77045639774
10000,2,0.4,1.0605551304,1.96267147524
10000,2,0.6,1.19916037829,2.40392833505


